b1,1CC rate,2CC rate,Game 1 rate,C rate,CoopSPE rate,strat,strat_space,transition
1,0.015680694,0,1,0.054460615,0,S_04_NA,S_04,NA
1.14,0.027302062,0,1,0.067120816,0,S_04_NA,S_04,NA
1.28,0.030124742,0,1,0.063890282,0,S_04_NA,S_04,NA
1.42,0.033408151,0,1,0.06601235,0,S_04_NA,S_04,NA
1.56,0.039692988,0,1,0.070736448,0,S_04_NA,S_04,NA
1.7,0.048576772,0,1,0.07893797,0,S_04_NA,S_04,NA
1.84,0.063894561,0,1,0.09425775,0,S_04_NA,S_04,NA
1.98,0.098453778,0,1,0.127812996,0,S_04_NA,S_04,NA
2.12,0.197769887,0,1,0.222758141,0.170488,S_04_NA,S_04,NA
2.26,0.488681876,0,1,0.504937167,0.470198,S_04_NA,S_04,NA
2.4,0.827616785,0,1,0.833902076,0.823742,S_04_NA,S_04,NA
2.54,0.967363115,0,1,0.969418875,0.96967,S_04_NA,S_04,NA
2.68,0.984940369,0,1,0.986156497,0.988506,S_04_NA,S_04,NA
2.82,0.99520147,0,1,0.996214912,0.999138,S_04_NA,S_04,NA
2.96,0.99589847,0,1,0.996908924,0.99989,S_04_NA,S_04,NA
3.1,0.995862686,0,1,0.996876626,0.999828,S_04_NA,S_04,NA
1,0.015680694,0,1,0.054460615,0,S_04_NA,S_04,NA
1.14,0.027302062,0,1,0.067120816,0,S_04_NA,S_04,NA
1.28,0.030124742,0,1,0.063890282,0,S_04_NA,S_04,NA
1.42,0.033408151,0,1,0.06601235,0,S_04_NA,S_04,NA
1.56,0.039692988,0,1,0.070736448,0,S_04_NA,S_04,NA
1.7,0.048576772,0,1,0.07893797,0,S_04_NA,S_04,NA
1.84,0.063894561,0,1,0.09425775,0,S_04_NA,S_04,NA
1.98,0.098453778,0,1,0.127812996,0,S_04_NA,S_04,NA
2.12,0.197769887,0,1,0.222758141,0.170488,S_04_NA,S_04,NA
2.26,0.488681876,0,1,0.504937167,0.470198,S_04_NA,S_04,NA
2.4,0.827616785,0,1,0.833902076,0.823742,S_04_NA,S_04,NA
2.54,0.967363115,0,1,0.969418875,0.96967,S_04_NA,S_04,NA
2.68,0.984940369,0,1,0.986156497,0.988506,S_04_NA,S_04,NA
2.82,0.99520147,0,1,0.996214912,0.999138,S_04_NA,S_04,NA
2.96,0.99589847,0,1,0.996908924,0.99989,S_04_NA,S_04,NA
3.1,0.995862686,0,1,0.996876626,0.999828,S_04_NA,S_04,NA
1,0.015680694,0,1,0.054460615,0,S_04_NA,S_04,NA
1.14,0.027302062,0,1,0.067120816,0,S_04_NA,S_04,NA
1.28,0.030124742,0,1,0.063890282,0,S_04_NA,S_04,NA
1.42,0.033408151,0,1,0.06601235,0,S_04_NA,S_04,NA
1.56,0.039692988,0,1,0.070736448,0,S_04_NA,S_04,NA
1.7,0.048576772,0,1,0.07893797,0,S_04_NA,S_04,NA
1.84,0.063894561,0,1,0.09425775,0,S_04_NA,S_04,NA
1.98,0.098453778,0,1,0.127812996,0,S_04_NA,S_04,NA
2.12,0.197769887,0,1,0.222758141,0.170488,S_04_NA,S_04,NA
2.26,0.488681876,0,1,0.504937167,0.470198,S_04_NA,S_04,NA
2.4,0.827616785,0,1,0.833902076,0.823742,S_04_NA,S_04,NA
2.54,0.967363115,0,1,0.969418875,0.96967,S_04_NA,S_04,NA
2.68,0.984940369,0,1,0.986156497,0.988506,S_04_NA,S_04,NA
2.82,0.99520147,0,1,0.996214912,0.999138,S_04_NA,S_04,NA
2.96,0.99589847,0,1,0.996908924,0.99989,S_04_NA,S_04,NA
3.1,0.995862686,0,1,0.996876626,0.999828,S_04_NA,S_04,NA
1,0.015680694,0,1,0.054460615,0,S_04_NA,S_04,NA
1.14,0.027302062,0,1,0.067120816,0,S_04_NA,S_04,NA
1.28,0.030124742,0,1,0.063890282,0,S_04_NA,S_04,NA
1.42,0.033408151,0,1,0.06601235,0,S_04_NA,S_04,NA
1.56,0.039692988,0,1,0.070736448,0,S_04_NA,S_04,NA
1.7,0.048576772,0,1,0.07893797,0,S_04_NA,S_04,NA
1.84,0.063894561,0,1,0.09425775,0,S_04_NA,S_04,NA
1.98,0.098453778,0,1,0.127812996,0,S_04_NA,S_04,NA
2.12,0.197769887,0,1,0.222758141,0.170488,S_04_NA,S_04,NA
2.26,0.488681876,0,1,0.504937167,0.470198,S_04_NA,S_04,NA
2.4,0.827616785,0,1,0.833902076,0.823742,S_04_NA,S_04,NA
2.54,0.967363115,0,1,0.969418875,0.96967,S_04_NA,S_04,NA
2.68,0.984940369,0,1,0.986156497,0.988506,S_04_NA,S_04,NA
2.82,0.99520147,0,1,0.996214912,0.999138,S_04_NA,S_04,NA
2.96,0.99589847,0,1,0.996908924,0.99989,S_04_NA,S_04,NA
3.1,0.995862686,0,1,0.996876626,0.999828,S_04_NA,S_04,NA
1,0.015680694,0,1,0.054460615,0,S_04_NA,S_04,NA
1.14,0.027302062,0,1,0.067120816,0,S_04_NA,S_04,NA
1.28,0.030124742,0,1,0.063890282,0,S_04_NA,S_04,NA
1.42,0.033408151,0,1,0.06601235,0,S_04_NA,S_04,NA
1.56,0.039692988,0,1,0.070736448,0,S_04_NA,S_04,NA
1.7,0.048576772,0,1,0.07893797,0,S_04_NA,S_04,NA
1.84,0.063894561,0,1,0.09425775,0,S_04_NA,S_04,NA
1.98,0.098453778,0,1,0.127812996,0,S_04_NA,S_04,NA
2.12,0.197769887,0,1,0.222758141,0.170488,S_04_NA,S_04,NA
2.26,0.488681876,0,1,0.504937167,0.470198,S_04_NA,S_04,NA
2.4,0.827616785,0,1,0.833902076,0.823742,S_04_NA,S_04,NA
2.54,0.967363115,0,1,0.969418875,0.96967,S_04_NA,S_04,NA
2.68,0.984940369,0,1,0.986156497,0.988506,S_04_NA,S_04,NA
2.82,0.99520147,0,1,0.996214912,0.999138,S_04_NA,S_04,NA
2.96,0.99589847,0,1,0.996908924,0.99989,S_04_NA,S_04,NA
3.1,0.995862686,0,1,0.996876626,0.999828,S_04_NA,S_04,NA
