b1,1CC rate,2CC rate,Game 1 rate,C rate,SPE rate,eps,strat,strat_space,transition,N,beta
1.8,0.5892075342471517,0.01139513452943686,0.785261840295015,0.6220349732446903,0.0,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.6195450540813727,0.011719316723120382,0.793329550392586,0.6514016521634866,0.0,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5547180726690304,0.013614225482579964,0.7460868010976449,0.5916357675618272,0.0,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5866920176255471,0.012700482867795931,0.7649837935885304,0.6214248483220639,0.0,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.6083970046392148,0.01295930170425012,0.7837559472041723,0.6422021086552098,0.0,0.0001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5757844914988228,0.013764798365936214,0.7759192923334487,0.6122862106069403,0.47617600000000004,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5891540526756145,0.014197452743363778,0.7741516999446568,0.6249590860150162,0.46466,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5484112234419489,0.014995397204694425,0.7489668891226571,0.5859890146010245,0.430234,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5616656787122533,0.01484530273492494,0.7530391326159442,0.6000308829425886,0.449408,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.5953395253697534,0.014938096366806762,0.7824293772928288,0.6315400466897537,0.49267799999999995,0.001,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.320711986328132,0.025670462661321898,0.6746234525658937,0.3814439313589023,0.0,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.3248823136456801,0.02716860981758309,0.6752709552672814,0.3862207738740204,0.0,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.3068692445521732,0.02646723443422696,0.6626114210650761,0.36981846933633583,0.0,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.3038376575427553,0.02659374155026353,0.6766120446419616,0.3658202784046526,0.0,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.32164698588497,0.02803433539965008,0.6764718708633721,0.3849104828121584,0.0,0.01,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.02035590004562989,0.0111198637516468,0.6457489638881402,0.12789124598615412,0.0,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.020060568081463084,0.014222941489004888,0.6612087411080345,0.13187243764155698,0.0,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.018780019752807842,0.011139713905014146,0.6624380282148781,0.12541916071899994,0.0,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.020568689858562788,0.01212155085925442,0.6915927013677877,0.12902280921396994,0.0,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
1.8,0.01800103680039391,0.011249608754346514,0.6802278382817852,0.12468825206661617,0.0,0.1,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default,100,2.0
